target,throughput,mean,p50,p90,p95,p99
50,50.0,2.940173236074271,2.587244,4.688293,5.204699,6.487254
100,100.0,2.637989636,2.042849,4.641229,5.911042,11.618024
200,200.0,1.6095633496666666,1.4105640000000002,2.146023,3.090134,4.695943000000001
500,503.0,1.3650250137748345,1.208269,1.7292509999999999,2.184399,4.2869139999999994
1000,1016.0,1.2611138233442623,1.19803,1.510169,1.683268,2.827556
2500,2615.0,1.233875629454045,1.185469,1.4639280000000001,1.6215979999999999,2.521674
5000,5491.0,1.1918737772733343,1.141225,1.4052550000000001,1.559708,2.305348
10000,12136.0,1.2920704905185674,1.182808,1.624487,1.8745509999999999,3.258705
25000,44889.0,7.119541038491869,1.332106,6.3171930000000005,16.26946,31.941174
5000,5491.0,1.4413617772435898,1.259592,2.0786979999999997,2.415819,3.708462
10000,12171.0,1.197472390094151,1.131583,1.51501,1.722451,2.461779
25000,44885.0,32.492384139775844,15.664813,59.813922,67.039963,107.678077
50000,143.0,2211.3332793567442,2082.705052,3775.080832,4547.222456,6027.63534
